B2_max_rel,B2_rms_rel,Bmag_max_rel,Bmag_rms_rel,Bvec_max_rel,Bvec_rms_rel,F_norm,F_rel,Fz_mean,Fz_mean_rel_error,N_mean,N_mean_rel_error,accumulated_angle,accumulated_angle_rel_error,bracket_width,case,dt,dt_Omega18,dt_Omega6,dt_level,dt_tau,final_x,final_y,gap_mm,grad_max_rel,grad_rms_rel,grid_ds,grid_dx,grid_level,grid_n,omega,omega_ball,omega_ball_rel_error,omega_crit,omega_crit_shift,ratio,ratio_abs_error,ratio_rel_error,record,regime,regime_change,slip_mean,slip_mean_rel_error,spin_radial,spin_radial_rel_error,status,steps_cycle18,steps_cycle6,steps_tau,tau_mean,tau_mean_rel_error,tau_norm,tau_rel,vtan_mean,vtan_mean_rel_error
0.012614973571048323,0.009428436344843949,0.006709491859219554,0.00461894609718401,0.006685998531637284,0.00570814622814582,0.4594292873053277,0.014915627986173054,,,,,,,,,,,,,,,,3.0,0.02760662110535852,0.020576667983522038,0.001,0.0010000000000000009,coarse,181,,,,,,,,,grid,,,,,,,,,,,,,0.000630342532788073,0.0169456020116108,,
0.003049276108192755,0.001963305551539276,0.0015527331118211506,0.0009543086890866331,0.0016108730886088773,0.0011720793795643447,0.46375088138581305,0.0029368155184250583,,,,,,,,,,,,,,,,3.0,0.005844345936407992,0.004204191899130039,0.0005,0.0005000000000000004,default,361,,,,,,,,,grid,,,,,,,,,,,,,0.0006386328649083173,0.004023096576194012,,
0.0,0.0,0.0,0.0,0.0,0.0,0.46441416759058507,0.0,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.00025,0.0002500000000000002,fine,721,,,,,,,,,grid,,,,,,,,,,,,,0.0006412079343449626,0.0,,
0.010426516964759134,0.007624352225166081,0.005483348866841373,0.00373036553415316,0.005390970788314088,0.004518686238411514,0.22729641337632922,0.01135318945928546,,,,,,,,,,,,,,,,5.0,0.02355620178890633,0.016639444941731984,0.001,0.0010000000000000009,coarse,181,,,,,,,,,grid,,,,,,,,,,,,,0.00034274304135772693,0.013708750909023154,,
0.0025185204031655563,0.0015818354404761154,0.0012779977489738152,0.0007681075158039313,0.0012563459230773642,0.0009260368843527088,0.22916883004855995,0.0020483392912625125,,,,,,,,,,,,,,,,5.0,0.004993391954800157,0.003396712998621605,0.0005,0.0005000000000000004,default,361,,,,,,,,,grid,,,,,,,,,,,,,0.0003464024555513584,0.003184381037442392,,
0.0,0.0,0.0,0.0,0.0,0.0,0.22946643831705849,0.0,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.00025,0.0002500000000000002,fine,721,,,,,,,,,grid,,,,,,,,,,,,,0.0003475067516886347,0.0,,
0.008042657222095054,0.005904206721485296,0.00419390397339975,0.0029487218993953885,0.004107549458234718,0.0034235613797551955,0.08582951513952285,0.008553967137200916,,,,,,,,,,,,,,,,8.0,0.018023300478623935,0.011954204458699916,0.001,0.0010000000000000009,coarse,181,,,,,,,,,grid,,,,,,,,,,,,,0.00014317097005492687,0.010167228107242087,,
0.0019262888142218225,0.0012173091065834569,0.0009734657523565052,0.0006038974979125278,0.0009375318445130328,0.0006994117518377914,0.08642045858981065,0.0014135037654616465,,,,,,,,,,,,,,,,8.0,0.0038091543199864904,0.0024346481310654794,0.0005,0.0005000000000000004,default,361,,,,,,,,,grid,,,,,,,,,,,,,0.0001443077145782786,0.002313170967390886,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0865212848213646,0.0,,,,,,,,,,,,,,,,8.0,0.0,0.0,0.00025,0.0002500000000000002,fine,721,,,,,,,,,grid,,,,,,,,,,,,,0.00014464141983070214,0.0,,
0.005068854075935277,0.00430533333295908,0.0028249254200760705,0.0022317191728956883,0.002833714667033031,0.002389825680232703,0.008627797918476279,0.005697894863684685,,,,,,,,,,,,,,,,16.0,0.009775124077345586,0.006249251600522127,0.001,0.0010000000000000009,coarse,181,,,,,,,,,grid,,,,,,,,,,,,,1.668342219111512e-05,0.005931468019145255,,
0.001228909024539286,0.0008770222685153757,0.0006495055977088519,0.00045299983953932,0.0006421442338837171,0.0004851198637786712,0.00866899351249378,0.0009508792953046893,,,,,,,,,,,,,,,,16.0,0.002064308723745955,0.001264207742605749,0.0005,0.0005000000000000004,default,361,,,,,,,,,grid,,,,,,,,,,,,,1.676112136802219e-05,0.0013005299546143977,,
0.0,0.0,0.0,0.0,0.0,0.0,0.008677210775390319,0.0,,,,,,,,,,,,,,,,16.0,0.0,0.0,0.00025,0.0002500000000000002,fine,721,,,,,,,,,grid,,,,,,,,,,,,,1.678286180099948e-05,0.0,,
,,,,,,,,-1.2755988671928054,8.971612653616919e-13,1.3448307225530118,8.509754235923722e-13,2.5943608891108236,9.616600340421938e-13,,A_locked,4e-05,,,2dt,,-0.05118006615525264,0.031184160033481997,3.0,,,,,,,2.0,1.9999825205982562,3.5183275141659264e-13,,,0.9999912602991281,3.518296765037121e-13,3.5183275141659264e-13,timestep,locked/prograde,False,0.0013492640184125482,1.618335226894083e-11,-19.77447243606694,4.599355342950092e-11,,,,,0.0004782127817161012,1.4542702916336546e-11,,,0.11999607370437465,4.473697534833984e-11
,,,,,,,,-1.2755988671915055,1.2184960918765703e-13,1.3448307225517118,1.1574190375208632e-13,2.594360889108037,1.1246184449372043e-13,,A_locked,2e-05,,,dt,,-0.05118006615508151,0.031184160033573285,3.0,,,,,,,2.0,1.9999825205989032,2.8310934557030964e-14,,,0.9999912602994516,2.8310687127941492e-14,2.8310934557030964e-14,timestep,locked/prograde,False,0.0013492640183873782,2.4712401100259504e-12,-19.7744724350271,6.591425378109968e-12,,,,,0.0004782127817081881,2.004541466618695e-12,,,0.11999607369821598,6.586960558198807e-12
,,,,,,,,-1.2755988671916603,5.222126108042445e-16,1.3448307225518665,6.60438823121748e-16,2.594360889108304,9.585788876177083e-15,,A_locked,1e-05,,,dt/2,,-0.05118006615510114,0.031184160033566524,3.0,,,,,,,2.0,1.9999825205990538,4.69628443828396e-14,,,0.9999912602995269,4.696243394164412e-14,4.69628443828396e-14,timestep,locked/prograde,False,0.0013492640183910827,2.7433224086715857e-13,-19.774472435162547,2.581737425955087e-13,,,,,0.000478212781709147,6.801588418092049e-16,,,0.11999607369903713,2.561692149312678e-13
,,,,,,,,-1.275598867191661,0.0,1.3448307225518674,0.0,2.5943608891083287,0.0,,A_locked,5e-06,,,dt/4,,-0.05118006615510122,0.03118416003356481,3.0,,,,,,,2.0,1.9999825205989599,0.0,,,0.9999912602994799,0.0,0.0,timestep,locked/prograde,False,0.0013492640183907125,0.0,-19.774472435157442,0.0,,,,,0.0004782127817091467,0.0,,,0.11999607369900639,0.0
,,,,,,,,-0.48510208407032424,1.0685850692405563e-09,0.5543339394305307,9.351274796702579e-10,9.085457260097048,1.0924425999029998e-10,,B_transition,4e-05,,,2dt,,-0.05699308760613324,0.02011700752622854,5.0,,,,,,,7.0,7.003128499199404,1.69750699119545e-10,,,1.0004469284570576,1.6982659722941662e-10,1.6975073082603233e-10,timestep,locked/prograde,False,0.12758840228557775,6.645562945024496e-09,-49.56347971484945,3.5197766948402142e-09,,,,,0.00048586182676953714,1.917556606947645e-09,,,0.42485872024250587,4.931316861688373e-10
,,,,,,,,-0.48510208484363065,5.25525620997735e-10,0.5543339402038372,4.5989179335730526e-10,9.08545725862904,5.2333511559048394e-11,,B_transition,2e-05,,,dt,,-0.05699308747003857,0.020117007572281066,5.0,,,,,,,7.0,7.003128497413214,8.530528952783659e-11,,,1.0004469282018877,8.534328799214563e-11,8.530516270188732e-11,timestep,locked/prograde,False,0.12758840105259436,3.0181946392600153e-09,-49.563479965673515,1.5408862383854045e-09,,,,,0.0004858618281562834,9.36642183279811e-10,,,0.42485872052851564,1.8005626468129424e-10
,,,,,,,,-0.4851020845731442,3.206107085801477e-11,0.5543339399333508,2.8056700418704343e-11,9.08545725913764,3.645991764249498e-12,,B_transition,1e-05,,,dt/2,,-0.056993087514438975,0.02011700755535509,5.0,,,,,,,7.0,7.0031284980565935,6.5650184386046344e-12,,,1.000446928293799,6.568079413682426e-12,6.565145264553916e-12,timestep,locked/prograde,False,0.12758840146633849,2.2460891995152224e-10,-49.56347988340217,1.1903249670729784e-10,,,,,0.00048586182767052183,6.315142602662027e-11,,,0.42485872044504436,1.6412070369865514e-11
,,,,,,,,-0.4851020845886971,0.0,0.5543339399489036,0.0,9.085457259104514,0.0,,B_transition,5e-06,,,dt/4,,-0.05699308751149408,0.02011700755643881,5.0,,,,,,,7.0,7.003128498010618,0.0,,,1.000446928287231,0.0,0.0,timestep,locked/prograde,False,0.127588401437681,0.0,-49.56347988930183,0.0,,,,,0.0004858618277012047,0.0,,,0.42485872045201717,0.0
