B_center,B_max,B_mean,B_min,B_std,B_vector_rms_rel,F_norm,F_ratio,F_rel_fine,F_vector_rel,Fmag,Fmag_point,Fmag_volume,Fz,Fz_point,Fz_volume,Nload,case,gap_mm,grad_rms_rel,model,n_elem,normal_ratio,omega,omega_crit_point,omega_crit_volume,quadrature,radius_mm,ratio,ratio_point,ratio_volume,record,regime,regime_point,regime_volume,seconds_per_sim_second,shift,tau_norm,tau_point,tau_ratio,tau_rel_fine,tau_vector_rel,tau_volume,time_point,time_volume,torque,vtan
,,,,,,,,,,1.2784360854504564,,,-1.2755988671915055,,,1.344830722551712,A,3.0,,,,,2.0,,,,,0.9999912602994517,,,point_baseline,locked/prograde,,,,,,,,,,,,,0.0004782127817081873,0.11999607369821572
,,,,,,,,,,0.2023110477231409,,,-0.18546137922071043,,,0.2546932345809169,B,5.0,,,,,7.8,,,,,-0.18874876348017716,,,point_baseline,retrograde,,,,,,,,,,,,,0.00016184343092641622,-0.07875813264210514
,,,,,,,,,,0.02335484395240497,,,-0.019266344625264803,,,0.08849819998547134,C,8.0,,,,,16.0,,,,,-0.3146286483282654,,,point_baseline,retrograde,,,,,,,,,,,,,2.5752317743850925e-05,-0.3683731424798517
,,,,,,,,,,0.008140539906625851,,,-0.007909700871132675,,,0.07714155623133921,D,16.0,,,,,10.0,,,,,-0.09314733795286295,,,point_baseline,retrograde,,,,,,,,,,,,,1.3413062956392334e-05,-0.056788704273036714
0.05315812621359638,0.14680351742818354,0.057945065639590745,0.0211037811556776,0.036820841980202024,0.8166452992864943,,,,,,,,,,,,,3.0,1.140582943759425,,,,,,,,,,,,field_variation,,,,,,,,,,,,,,,
0.035459011452712776,0.08894646329690425,0.038020948760801275,0.015248667160556846,0.02148762255402404,0.7196449723362107,,,,,,,,,,,,,5.0,1.0106744760845512,,,,,,,,,,,,field_variation,,,,,,,,,,,,,,,
0.020636363914087758,0.04610154255579745,0.021768921933178014,0.00972028947608869,0.010557045977131169,0.6128330122122723,,,,,,,,,,,,,8.0,0.8354766119505936,,,,,,,,,,,,field_variation,,,,,,,,,,,,,,,
0.014881517991670446,0.03135169912854929,0.015589306155270427,0.007335765758570904,0.006958951272617467,0.5629866379338977,,,,,,,,,,,,,10.0,0.7445011568983674,,,,,,,,,,,,field_variation,,,,,,,,,,,,,,,
0.006201879723002208,0.011679507530309417,0.006427227875599811,0.0033075067843312015,0.0024204098674149885,0.4762964985015817,,,,,,,,,,,,,16.0,0.5745829898578126,,,,,,,,,,,,field_variation,,,,,,,,,,,,,,,
,,,,,,,1.4803247502654315,,0.4803392416404437,,,,,,,,,,,,,,,,,,6.0,,,,small_radius,,,,,,,,1.6258717815994637,,0.6260573431900933,,,,,
,,,,,,,1.0993932935203665,,0.09939601902736313,,,,,,,,,,,,,,,,,,3.0,,,,small_radius,,,,,,,,1.1292786163758335,,0.1293313080479132,,,,,
,,,,,,,1.022509219465368,,0.02250980677143568,,,,,,,,,,,,,,,,,,1.5,,,,small_radius,,,,,,,,1.0298595430607524,,0.029873033502791975,,,,,
,,,,,,,1.0041153938514158,,0.004115494660641689,,,,,,,,,,,,,,,,,,0.75,,,,small_radius,,,,,,,,1.0062151316257664,,0.006218419677705348,,,,,
,,,,,,2.2378829091743966,,0.049191345599385594,,,,,,,,,,3.0,,,48,,2.0,,,coarse,,0.9993501716312705,,,quadrature,,,,,,0.003094473990776113,,,0.07774606289446591,,,,,,
,,,,,,2.370326783178727,,0.0070808164565982,,,,,,,,,,3.0,,,192,,2.0,,,medium,,1.0022672852809196,,,quadrature,,,,,,0.0033610596263431826,,,0.0017083082938231494,,,,,,
,,,,,,2.3536610318281808,,0.0,,,,,,,,,,3.0,,,768,,2.0,,,fine,,1.0020085820867248,,,quadrature,,,,,,0.0033553328577566347,,,0.0,,,,,,
,,,,,,0.21752564472009317,,0.032293672219543296,,,,,,,,,,8.0,,,48,,16.0,,,coarse,,-0.4017515435642526,,,quadrature,,,,,,0.00037195993253392697,,,0.041541354567909854,,,,,,
,,,,,,0.22441468016819072,,0.0016444539101582258,,,,,,,,,,8.0,,,192,,16.0,,,medium,,-0.3962926675735034,,,quadrature,,,,,,0.00038688938329083767,,,0.0030622870329789277,,,,,,
,,,,,,0.22478428960212682,,0.0,,,,,,,,,,8.0,,,768,,16.0,,,fine,,-0.39531739965142804,,,quadrature,,,,,,0.00038807743431208236,,,0.0,,,,,,
