model,parameter_set,field_path,H0_A_m,B_equivalent_T,Omega_rad_s,Ms_A_m,a_A_m,k_A_m,c,alpha,Hc_A_m,Mr_A_m,Mr_over_Ms,loop_area_J_m3_cycle,minor_loop_area_J_m3_cycle,rotational_loss_J_m3_cycle,mean_torque_density_proxy_J_m3,max_angle_lag_deg,path_increment_A_m,convergence_level,normalized_discrepancy,note
scalar_ja,synthetic_soft,alternating_major,3978.8735772973837,0.005,53.41,1200000.0,4000.0,25.0,0.35,5e-05,16.249441654312683,1633.0793753978378,0.0013608994794981981,30.45365983881018,15.82034033149384,nan,nan,nan,50.0,N=500,nan,synthetic rate-independent scalar reference
vector_ja,synthetic_soft,circular,3978.8735772973837,0.005,53.41,1200000.0,4000.0,25.0,0.35,5e-05,16.249441654312683,1633.0793753978378,0.0013608994794981981,30.45365983881018,15.82034033149384,48.164086108177024,7.665754136589111,0.2339795884089027,50.0,N=500,nan,prescribed H path; B equivalent is mu0 H only
scalar_ja,synthetic_soft,alternating_major,7957.747154594767,0.01,53.41,1200000.0,4000.0,25.0,0.35,5e-05,16.249788882885255,1633.0792827473888,0.0013608994022894906,52.48772512566929,30.45365983881003,nan,nan,nan,100.0,N=500,nan,synthetic rate-independent scalar reference
vector_ja,synthetic_soft,circular,7957.747154594767,0.01,53.41,1200000.0,4000.0,25.0,0.35,5e-05,16.249788882885255,1633.0792827473888,0.0013608994022894906,52.48772512566929,30.45365983881003,82.65611766691211,13.15547593898922,0.11699793808426516,100.0,N=500,nan,prescribed H path; B equivalent is mu0 H only
scalar_ja,synthetic_soft,alternating_major,15915.494309189535,0.02,53.41,1200000.0,4000.0,25.0,0.35,5e-05,16.251515290092485,1633.0792607865878,0.0013608993839888232,73.4706141695208,52.48772512566989,nan,nan,nan,200.0,N=500,nan,synthetic rate-independent scalar reference
vector_ja,synthetic_soft,circular,15915.494309189535,0.02,53.41,1200000.0,4000.0,25.0,0.35,5e-05,16.251515290092485,1633.0792607865878,0.0013608993839888232,73.4706141695208,52.48772512566989,115.48153142193173,18.37994029844211,0.05850025175024673,200.0,N=500,nan,prescribed H path; B equivalent is mu0 H only
scalar_ja,synthetic_soft,alternating_major,23873.2414637843,0.03,53.41,1200000.0,4000.0,25.0,0.35,5e-05,16.254615773235813,1633.0792581519127,0.0013608993817932605,81.6068374201721,65.69484204336412,nan,nan,nan,300.0,N=500,nan,synthetic rate-independent scalar reference
vector_ja,synthetic_soft,circular,23873.2414637843,0.03,53.41,1200000.0,4000.0,25.0,0.35,5e-05,16.254615773235813,1633.0792581519127,0.0013608993817932605,81.6068374201721,65.69484204336412,128.22197046355305,20.407697517086515,0.039000337458682886,300.0,N=500,nan,prescribed H path; B equivalent is mu0 H only
scalar_ja,synthetic_soft,alternating_major,39788.735772973836,0.05,53.41,1200000.0,4000.0,25.0,0.35,5e-05,16.26493531704705,1633.0792576950698,0.0013608993814125583,88.1674706814443,78.3338883904782,nan,nan,nan,500.0,N=500,nan,synthetic rate-independent scalar reference
vector_ja,synthetic_soft,circular,39788.735772973836,0.05,53.41,1200000.0,4000.0,25.0,0.35,5e-05,16.26493531704705,1633.0792576950698,0.0013608993814125583,88.1674706814443,78.3338883904782,138.5059225081793,22.044482397619998,0.02340020120484588,500.0,N=500,nan,prescribed H path; B equivalent is mu0 H only
scalar_ja,synthetic_medium,alternating_major,3978.8735772973837,0.005,53.41,1350000.0,6000.0,400.0,0.2,5e-05,319.7500318899693,24044.93201389406,0.017811060751032635,411.6667664389788,179.52662532915136,nan,nan,nan,50.0,N=500,nan,synthetic rate-independent scalar reference
vector_ja,synthetic_medium,circular,3978.8735772973837,0.005,53.41,1350000.0,6000.0,400.0,0.2,5e-05,319.7500318899693,24044.93201389406,0.017811060751032635,411.6667664389788,179.52662532915136,731.5473014060193,116.43243347893039,4.612033320222071,50.0,N=500,nan,prescribed H path; B equivalent is mu0 H only
scalar_ja,synthetic_medium,alternating_major,7957.747154594767,0.01,53.41,1350000.0,6000.0,400.0,0.2,5e-05,319.76694294191486,24047.735790442846,0.017813137622550258,820.5324252173398,411.6667664389788,nan,nan,nan,100.0,N=500,nan,synthetic rate-independent scalar reference
vector_ja,synthetic_medium,circular,7957.747154594767,0.01,53.41,1350000.0,6000.0,400.0,0.2,5e-05,319.76694294191486,24047.735790442846,0.017813137622550258,820.5324252173398,411.6667664389788,1358.2629776117833,216.1799564891083,2.304499776017296,100.0,N=500,nan,prescribed H path; B equivalent is mu0 H only
scalar_ja,synthetic_medium,alternating_major,15915.494309189535,0.02,53.41,1350000.0,6000.0,400.0,0.2,5e-05,319.7656170004402,24047.666598482712,0.017813086369246455,1353.3992072164851,820.53242521734,nan,nan,nan,200.0,N=500,nan,synthetic rate-independent scalar reference
vector_ja,synthetic_medium,circular,15915.494309189535,0.02,53.41,1350000.0,6000.0,400.0,0.2,5e-05,319.7656170004402,24047.666598482712,0.017813086369246455,1353.3992072164851,820.53242521734,2161.2956674341685,343.9899423361593,1.1520600224194837,200.0,N=500,nan,prescribed H path; B equivalent is mu0 H only
scalar_ja,synthetic_medium,alternating_major,23873.2414637843,0.03,53.41,1350000.0,6000.0,400.0,0.2,5e-05,319.7662636429944,24047.295024231516,0.017812811129060382,1616.7720171087356,1132.1186952233825,nan,nan,nan,300.0,N=500,nan,synthetic rate-independent scalar reference
vector_ja,synthetic_medium,circular,23873.2414637843,0.03,53.41,1350000.0,6000.0,400.0,0.2,5e-05,319.7662636429944,24047.295024231516,0.017812811129060382,1616.7720171087356,1132.1186952233825,2557.38727887238,407.0315393890142,0.7680153356283858,300.0,N=500,nan,prescribed H path; B equivalent is mu0 H only
scalar_ja,synthetic_medium,alternating_major,39788.735772973836,0.05,53.41,1350000.0,6000.0,400.0,0.2,5e-05,319.7107067734753,24042.664065175428,0.017809380789018836,1840.2225897356723,1507.6438335430373,nan,nan,nan,500.0,N=500,nan,synthetic rate-independent scalar reference
vector_ja,synthetic_medium,circular,39788.735772973836,0.05,53.41,1350000.0,6000.0,400.0,0.2,5e-05,319.7107067734753,24042.664065175428,0.017809380789018836,1840.2225897356723,1507.6438335430373,2897.049993465317,461.0919622025542,0.4607977944609216,500.0,N=500,nan,prescribed H path; B equivalent is mu0 H only
scalar_ja,synthetic_hard,alternating_major,3978.8735772973837,0.005,53.41,1500000.0,9000.0,1600.0,0.1,3e-05,1296.306882823563,62078.622040595204,0.04138574802706347,808.4588780798049,170.94719084650245,nan,nan,nan,50.0,N=500,nan,synthetic rate-independent scalar reference
vector_ja,synthetic_hard,circular,3978.8735772973837,0.005,53.41,1500000.0,9000.0,1600.0,0.1,3e-05,1296.306882823563,62078.622040595204,0.04138574802706347,808.4588780798049,170.94719084650245,2275.3201863298805,362.1379857856741,21.19624843248014,50.0,N=500,nan,prescribed H path; B equivalent is mu0 H only
scalar_ja,synthetic_hard,alternating_major,7957.747154594767,0.01,53.41,1500000.0,9000.0,1600.0,0.1,3e-05,1423.8665284432204,77858.15374204479,0.05190543582802986,2317.9500927064564,808.4588780798006,nan,nan,nan,100.0,N=500,nan,synthetic rate-independent scalar reference
vector_ja,synthetic_hard,circular,7957.747154594767,0.01,53.41,1500000.0,9000.0,1600.0,0.1,3e-05,1423.8665284432204,77858.15374204479,0.05190543582802986,2317.9500927064564,808.4588780798006,4691.596111946008,746.7103646808249,10.42320753220048,100.0,N=500,nan,prescribed H path; B equivalent is mu0 H only
scalar_ja,synthetic_hard,alternating_major,15915.494309189535,0.02,53.41,1500000.0,9000.0,1600.0,0.1,3e-05,1433.5753623613366,79167.01175401849,0.052778007836012324,4850.330262864907,2317.9500927064555,nan,nan,nan,200.0,N=500,nan,synthetic rate-independent scalar reference
vector_ja,synthetic_hard,circular,15915.494309189535,0.02,53.41,1500000.0,9000.0,1600.0,0.1,3e-05,1433.5753623613366,79167.01175401849,0.052778007836012324,4850.330262864907,2317.9500927064555,8398.326935334831,1336.6704249380693,5.19082894068431,200.0,N=500,nan,prescribed H path; B equivalent is mu0 H only
