row_type,case,gap_m,omega_disc,material_point,peak_rank,frequency_hz,Omega_rad_s,peak_power_fraction,cumulative_top_power,Omega_rms,omega_orbit,omega_orbit_early,omega_orbit_late,mean_spin_magnitude,spin_early,spin_late,Omega6_orbit,Omega18_orbit,sigma_S_m,mu_r_ac,delta,delta_over_a,a_over_delta,tau_diff,Pi1,Omega_tau_lag,center_amplitude,center_phase_rad,shell_fraction
spectral_peak,A_locked_3mm_2,0.003,2.0,center,1,3.2500000000018012,20.420352248344972,0.9911853215880175,0.9911853215880175,19.85762666094795,1.9999999999901208,1.999999999960502,1.9999999999999978,19.752363189598817,19.752363189848868,19.75236318934877,5.927525137394696e-11,1.7782575412184087e-10,1000000.0,10.0,0.08828327816326506,14.71387969387751,0.0679630403948527,0.0004523893421169302,0.009237949719424758,0.08168140899337989,0.9342950041135353,-0.0679630403948527,1.0
spectral_peak,A_locked_3mm_2,0.003,2.0,center,1,3.2500000000018012,20.420352248344972,0.9911853215880175,0.9911853215880175,19.85762666094795,1.9999999999901208,1.999999999960502,1.9999999999999978,19.752363189598817,19.752363189848868,19.75236318934877,5.927525137394696e-11,1.7782575412184087e-10,1000000.0,50.0,0.03948148224991669,6.580247041652782,0.15196997828045478,0.0022619467105846514,0.0461897485971238,0.08168140899337989,0.859014069433489,-0.15196997828045478,1.0
spectral_peak,A_locked_3mm_2,0.003,2.0,center,1,3.2500000000018012,20.420352248344972,0.9911853215880175,0.9911853215880175,19.85762666094795,1.9999999999901208,1.999999999960502,1.9999999999999978,19.752363189598817,19.752363189848868,19.75236318934877,5.927525137394696e-11,1.7782575412184087e-10,1000000.0,100.0,0.027917623830212398,4.652937305035399,0.21491800435776384,0.004523893421169303,0.0923794971942476,0.08168140899337989,0.8066075757720825,-0.21491800435776384,1.0
spectral_peak,A_locked_3mm_2,0.003,2.0,center,1,3.2500000000018012,20.420352248344972,0.9911853215880175,0.9911853215880175,19.85762666094795,1.9999999999901208,1.999999999960502,1.9999999999999978,19.752363189598817,19.752363189848868,19.75236318934877,5.927525137394696e-11,1.7782575412184087e-10,1000000.0,500.0,0.012485140930924595,2.080856821820766,0.48057126733255595,0.022619467105846513,0.461897485971238,0.08168140899337989,0.6184300020181053,-0.48057126733255595,1.0
spectral_peak,A_locked_3mm_2,0.003,2.0,center,1,3.2500000000018012,20.420352248344972,0.9911853215880175,0.9911853215880175,19.85762666094795,1.9999999999901208,1.999999999960502,1.9999999999999978,19.752363189598817,19.752363189848868,19.75236318934877,5.927525137394696e-11,1.7782575412184087e-10,3000000.0,10.0,0.05097037441250369,8.495062402083947,0.11771543900074084,0.0013571680263507906,0.027713849158274278,0.08168140899337989,0.8889489768358649,-0.11771543900074084,1.0
spectral_peak,A_locked_3mm_2,0.003,2.0,center,1,3.2500000000018012,20.420352248344972,0.9911853215880175,0.9911853215880175,19.85762666094795,1.9999999999901208,1.999999999960502,1.9999999999999978,19.752363189598817,19.752363189848868,19.75236318934877,5.927525137394696e-11,1.7782575412184087e-10,3000000.0,50.0,0.022794644404994832,3.799107400832472,0.26321972360688645,0.006785840131753954,0.1385692457913714,0.08168140899337989,0.7685730051241981,-0.26321972360688645,1.0
spectral_peak,A_locked_3mm_2,0.003,2.0,center,1,3.2500000000018012,20.420352248344972,0.9911853215880175,0.9911853215880175,19.85762666094795,1.9999999999901208,1.999999999960502,1.9999999999999978,19.752363189598817,19.752363189848868,19.75236318934877,5.927525137394696e-11,1.7782575412184087e-10,3000000.0,100.0,0.016118247633507842,2.6863746055846405,0.3722489030089563,0.013571680263507907,0.2771384915827428,0.08168140899337989,0.6891826815309308,-0.3722489030089563,1.0
spectral_peak,A_locked_3mm_2,0.003,2.0,center,1,3.2500000000018012,20.420352248344972,0.9911853215880175,0.9911853215880175,19.85762666094795,1.9999999999901208,1.999999999960502,1.9999999999999978,19.752363189598817,19.752363189848868,19.75236318934877,5.927525137394696e-11,1.7782575412184087e-10,3000000.0,500.0,0.00720829947733973,1.2013832462232883,0.8323738516777524,0.06785840131753954,1.385692457913714,0.08168140899337989,0.435015397626337,-0.8323738516777524,1.0
spectral_peak,A_locked_3mm_2,0.003,2.0,center,1,3.2500000000018012,20.420352248344972,0.9911853215880175,0.9911853215880175,19.85762666094795,1.9999999999901208,1.999999999960502,1.9999999999999978,19.752363189598817,19.752363189848868,19.75236318934877,5.927525137394696e-11,1.7782575412184087e-10,6000000.0,10.0,0.036041497386698644,6.00691623111644,0.1664747703355505,0.0027143360527015813,0.055427698316548556,0.08168140899337989,0.8466441772144814,-0.1664747703355505,1.0
spectral_peak,A_locked_3mm_2,0.003,2.0,center,1,3.2500000000018012,20.420352248344972,0.9911853215880175,0.9911853215880175,19.85762666094795,1.9999999999901208,1.999999999960502,1.9999999999999978,19.752363189598817,19.752363189848868,19.75236318934877,5.927525137394696e-11,1.7782575412184087e-10,6000000.0,50.0,0.016118247633507842,2.6863746055846405,0.3722489030089563,0.013571680263507907,0.2771384915827428,0.08168140899337989,0.6891826815309308,-0.3722489030089563,1.0
