benchmark,case,gap_m,phase_rad,l,m,omega_rad_s,B_amplitude_T,Fx_N,Fy_N,Fz_N,taux_Nm,tauy_Nm,tauz_Nm,joule_power_W,stress_radius_over_a,n_mu,n_phi,static_diffusion_ratio,tau_lag_Nm,diffusion_tau_lag_ratio,volume_Fx_N,volume_Fy_N,volume_Fz_N,relative_error,spectral_weight,note
carousel_lmax_convergence,gap_3mm,0.003,0.0,3,nan,20.42,0.05323683351972458,-0.005193623210971788,4.5411533450001324e-14,-0.9717782546007258,-3.481901625355163e-16,7.939001237527923e-15,2.5471792966485393e-16,nan,1.05,28,56,0.9999795107520763,nan,nan,nan,nan,nan,nan,nan,cumulative spatial harmonics l=1..listed l
carousel_lmax_convergence,gap_3mm,0.003,0.0,4,nan,20.42,0.05323683351972458,-0.005041666996754066,-1.19891109029504e-13,-1.079772384342494,-1.1262769352002377e-15,7.464708290271012e-15,4.0584463386492013e-16,nan,1.05,28,56,0.9999813521774559,nan,nan,nan,nan,nan,nan,nan,cumulative spatial harmonics l=1..listed l
carousel_lmax_convergence,gap_3mm,0.003,0.0,5,nan,20.42,0.05323683351972458,-0.005022024406640041,1.8313230959247264e-13,-1.1041037437928498,9.816537090483874e-16,5.326948040060763e-15,4.367638356960488e-17,nan,1.05,28,56,0.9999817431705168,nan,nan,nan,nan,nan,nan,nan,cumulative spatial harmonics l=1..listed l
carousel_lmax_convergence,gap_3mm,0.003,0.0,6,nan,20.42,0.05323683351972458,-0.005022549118852974,-1.452116496014291e-13,-1.107317666549696,-3.43897050488613e-16,5.975286556707591e-15,-1.1306923824986023e-16,nan,1.05,28,56,0.9999817948327855,nan,nan,nan,nan,nan,nan,nan,cumulative spatial harmonics l=1..listed l
carousel_spectral_component,gap_3mm,0.003,0.0,nan,nan,20.420352248344972,nan,-0.0050225491143106845,-1.6667582410327873e-13,-1.107317665854434,-6.407502504191502e-16,6.4734308119043e-15,3.1733084200650855e-17,nan,1.05,28,56,nan,nan,nan,nan,nan,nan,nan,1.0,weighted independent-frequency contribution
carousel_spectral_sum,gap_3mm,0.003,0.0,nan,nan,nan,nan,-0.0050225491143106845,-1.6667582410327873e-13,-1.107317665854434,-6.407502504191502e-16,6.4734308119043e-15,3.1733084200650855e-17,nan,1.05,28,56,0.9999817942049116,nan,nan,nan,nan,nan,nan,nan,offline separable-spectrum sum; not transient simulation
carousel_static_bridge,gap_3mm,0.003,0.1308996938995747,nan,nan,0,0.033873107855344045,-0.0404733135637414,0.4099342196582476,-0.6320082543927964,-5.478747147406736e-13,-4.744587889998433e-14,-7.908275180025205e-15,nan,1.05,28,56,nan,nan,nan,-0.04279576199629876,0.4217837787716216,-0.6075290522643343,0.036844459322120264,nan,l<=6 modal Maxwell stress vs static volume_demag
carousel_single_frequency,gap_3mm,0.003,0.1308996938995747,nan,nan,20.42,0.033873107855344045,-0.020236217583104836,0.20496330851250155,-0.3159982490086382,-2.73575139556063e-13,-2.3253191905282577e-14,-3.336973318003889e-15,nan,1.05,28,56,0.9999814058830868,nan,nan,nan,nan,nan,nan,nan,one-frequency scale estimate; denominator is zero-frequency phasor
carousel_spectral_component,gap_3mm,0.003,0.1308996938995747,nan,nan,20.420352248344972,nan,-0.0202362175680142,0.2049633083815206,-0.31599824880596716,-2.7332415893253993e-13,-2.311628086910522e-14,-3.17530343360825e-15,nan,1.05,28,56,nan,nan,nan,nan,nan,nan,nan,1.0,weighted independent-frequency contribution
carousel_spectral_sum,gap_3mm,0.003,0.1308996938995747,nan,nan,nan,nan,-0.0202362175680142,0.2049633083815206,-0.31599824880596716,-2.7332415893253993e-13,-2.311628086910522e-14,-3.17530343360825e-15,nan,1.05,28,56,0.9999814052421163,nan,nan,nan,nan,nan,nan,nan,offline separable-spectrum sum; not transient simulation
